onset	duration	trial_type	value	session_type	task_condition
98.92578125	6.25	green	0	online	covert
109.6171875	6.25	green	0	online	covert
130.73046875	6.25	yellow	4	online	covert
141.14453125	6.25	green	0	online	covert
151.25390625	6.25	orange	2	online	covert
161.3984375	6.25	orange	2	online	covert
171.4453125	6.25	magenta	1	online	covert
181.59765625	6.25	magenta	1	online	covert
191.59765625	6.25	magenta	1	online	covert
212.70703125	6.25	violet	3	online	covert
223.15625	6.25	orange	2	online	covert
244.48046875	6.25	violet	3	online	covert
254.625	6.25	magenta	1	online	covert
264.546875	6.25	green	0	online	covert
274.51171875	6.25	green	0	online	covert
288.91015625	6.25	violet	3	online	covert
299.890625	6.25	magenta	1	online	covert
310.0859375	6.25	magenta	1	online	covert
331.53515625	6.25	orange	2	online	covert
341.65234375	6.25	green	0	online	covert
363.20703125	6.25	yellow	4	online	covert
373.3984375	6.25	magenta	1	online	covert
383.42578125	6.25	green	0	online	covert
398.046875	6.25	violet	3	online	covert
409.14453125	6.25	magenta	1	online	covert
419.1796875	6.25	orange	2	online	covert
429.23046875	6.25	orange	2	online	covert
443.6640625	6.25	violet	3	online	covert
464.94140625	6.25	yellow	4	online	covert
475.23828125	6.25	orange	2	online	covert
489.1640625	6.25	violet	3	online	covert
499.93359375	6.25	orange	2	online	covert
510.1953125	6.25	green	0	online	covert
520.1796875	6.25	magenta	1	online	covert
530.02734375	6.25	magenta	1	online	covert
551.3671875	6.25	green	0	online	covert
561.5546875	6.25	green	0	online	covert
571.4921875	6.25	green	0	online	covert
581.5703125	6.25	magenta	1	online	covert
591.609375	6.25	magenta	1	online	covert
601.5859375	6.25	magenta	1	online	covert
616.0390625	6.25	orange	2	online	covert
626.82421875	6.25	magenta	1	online	covert
636.85546875	6.25	magenta	1	online	covert
650.76953125	6.25	violet	3	online	covert
661.5703125	6.25	magenta	1	online	covert
671.65234375	6.25	magenta	1	online	covert
685.6171875	6.25	violet	3	online	covert
696.48046875	6.25	orange	2	online	covert
710.234375	6.25	violet	3	online	covert
