onset	duration	trial_type	value	session_type	task_condition
0.0	6.25	green	0	calibration	minimally overt
11.25	6.25	magenta	1	calibration	minimally overt
22.5	6.25	orange	2	calibration	minimally overt
33.75	6.25	green	0	calibration	minimally overt
45.0	6.25	yellow	4	calibration	minimally overt
56.25	6.25	magenta	1	calibration	minimally overt
67.5	6.25	green	0	calibration	minimally overt
78.75	6.25	orange	2	calibration	minimally overt
90.0	6.25	magenta	1	calibration	minimally overt
101.25	6.25	violet	3	calibration	minimally overt
112.5	6.25	orange	2	calibration	minimally overt
123.75	6.25	yellow	4	calibration	minimally overt
135.0	6.25	violet	3	calibration	minimally overt
146.25	6.25	green	0	calibration	minimally overt
157.5	6.25	orange	2	calibration	minimally overt
168.75	6.25	magenta	1	calibration	minimally overt
180.0	6.25	green	0	calibration	minimally overt
191.25	6.25	orange	2	calibration	minimally overt
202.5	6.25	violet	3	calibration	minimally overt
213.75	6.25	magenta	1	calibration	minimally overt
225.0	6.25	green	0	calibration	minimally overt
236.25	6.25	magenta	1	calibration	minimally overt
247.5	6.25	violet	3	calibration	minimally overt
258.75	6.25	yellow	4	calibration	minimally overt
270.0	6.25	magenta	1	calibration	minimally overt
281.25	6.25	green	0	calibration	minimally overt
292.5	6.25	magenta	1	calibration	minimally overt
303.75	6.25	green	0	calibration	minimally overt
315.0	6.25	orange	2	calibration	minimally overt
326.25	6.25	yellow	4	calibration	minimally overt
337.5	6.25	green	0	calibration	minimally overt
348.75	6.25	magenta	1	calibration	minimally overt
360.0	6.25	violet	3	calibration	minimally overt
371.25	6.25	orange	2	calibration	minimally overt
382.5	6.25	yellow	4	calibration	minimally overt
393.75	6.25	magenta	1	calibration	minimally overt
405.0	6.25	green	0	calibration	minimally overt
416.25	6.25	orange	2	calibration	minimally overt
427.5	6.25	violet	3	calibration	minimally overt
438.75	6.25	green	0	calibration	minimally overt
450.0	6.25	orange	2	calibration	minimally overt
461.25	6.25	magenta	1	calibration	minimally overt
472.5	6.25	yellow	4	calibration	minimally overt
483.75	6.25	green	0	calibration	minimally overt
495.0	6.25	orange	2	calibration	minimally overt
506.25	6.25	green	0	calibration	minimally overt
517.5	6.25	magenta	1	calibration	minimally overt
528.75	6.25	green	0	calibration	minimally overt
540.0	6.25	violet	3	calibration	minimally overt
551.25	6.25	orange	2	calibration	minimally overt
562.5	6.25	green	0	calibration	minimally overt
573.75	6.25	yellow	4	calibration	minimally overt
585.0	6.25	magenta	1	calibration	minimally overt
596.25	6.25	violet	3	calibration	minimally overt
607.5	6.25	orange	2	calibration	minimally overt
618.75	6.25	magenta	1	calibration	minimally overt
630.0	6.25	green	0	calibration	minimally overt
641.25	6.25	magenta	1	calibration	minimally overt
652.5	6.25	orange	2	calibration	minimally overt
663.75	6.25	green	0	calibration	minimally overt
675.0	6.25	yellow	4	calibration	minimally overt
686.25	6.25	magenta	1	calibration	minimally overt
697.5	6.25	green	0	calibration	minimally overt
708.75	6.25	yellow	4	calibration	minimally overt
720.0	6.25	magenta	1	calibration	minimally overt
731.25	6.25	green	0	calibration	minimally overt
742.5	6.25	orange	2	calibration	minimally overt
753.75	6.25	yellow	4	calibration	minimally overt
765.0	6.25	magenta	1	calibration	minimally overt
776.25	6.25	orange	2	calibration	minimally overt
787.5	6.25	green	0	calibration	minimally overt
798.75	6.25	violet	3	calibration	minimally overt
810.0	6.25	orange	2	calibration	minimally overt
821.25	6.25	green	0	calibration	minimally overt
832.5	6.25	magenta	1	calibration	minimally overt
843.75	6.25	yellow	4	calibration	minimally overt
855.0	6.25	green	0	calibration	minimally overt
866.25	6.25	magenta	1	calibration	minimally overt
877.5	6.25	green	0	calibration	minimally overt
888.75	6.25	violet	3	calibration	minimally overt
900.0	6.25	magenta	1	calibration	minimally overt
911.25	6.25	yellow	4	calibration	minimally overt
922.5	6.25	magenta	1	calibration	minimally overt
933.75	6.25	green	0	calibration	minimally overt
945.0	6.25	magenta	1	calibration	minimally overt
956.25	6.25	orange	2	calibration	minimally overt
967.5	6.25	green	0	calibration	minimally overt
978.75	6.25	magenta	1	calibration	minimally overt
990.0	6.25	violet	3	calibration	minimally overt
1001.25	6.25	green	0	calibration	minimally overt
1012.5	6.25	orange	2	calibration	minimally overt
1023.75	6.25	magenta	1	calibration	minimally overt
1035.0	6.25	yellow	4	calibration	minimally overt
1046.25	6.25	violet	3	calibration	minimally overt
1057.5	6.25	green	0	calibration	minimally overt
1068.75	6.25	magenta	1	calibration	minimally overt
1080.0	6.25	yellow	4	calibration	minimally overt
1091.25	6.25	green	0	calibration	minimally overt
1102.5	6.25	magenta	1	calibration	minimally overt
1113.75	6.25	green	0	calibration	minimally overt
