onset	duration	trial_type	value	session_type	task_condition
0.0	6.25	yellow	4	online	covert
11.25	6.25	magenta	1	online	covert
22.5	6.25	green	0	online	covert
33.75	6.25	orange	2	online	covert
45.0	6.25	green	0	online	covert
56.25	6.25	magenta	1	online	covert
67.5	6.25	violet	3	online	covert
78.75	6.25	magenta	1	online	covert
90.0	6.25	yellow	4	online	covert
101.25	6.25	magenta	1	online	covert
112.5	6.25	green	0	online	covert
123.75	6.25	orange	2	online	covert
135.0	6.25	green	0	online	covert
146.25	6.25	yellow	4	online	covert
157.5	6.25	violet	3	online	covert
168.75	6.25	green	0	online	covert
180.0	6.25	orange	2	online	covert
191.25	6.25	magenta	1	online	covert
202.5	6.25	violet	3	online	covert
213.75	6.25	orange	2	online	covert
225.0	6.25	green	0	online	covert
236.25	6.25	magenta	1	online	covert
247.5	6.25	green	0	online	covert
258.75	6.25	violet	3	online	covert
270.0	6.25	orange	2	online	covert
281.25	6.25	green	0	online	covert
292.5	6.25	yellow	4	online	covert
303.75	6.25	magenta	1	online	covert
315.0	6.25	magenta	1	online	covert
326.25	6.25	violet	3	online	covert
337.5	6.25	orange	2	online	covert
348.75	6.25	magenta	1	online	covert
360.0	6.25	orange	2	online	covert
371.25	6.25	magenta	1	online	covert
382.5	6.25	green	0	online	covert
393.75	6.25	magenta	1	online	covert
405.0	6.25	yellow	4	online	covert
416.25	6.25	green	0	online	covert
427.5	6.25	violet	3	online	covert
438.75	6.25	orange	2	online	covert
450.0	6.25	green	0	online	covert
461.25	6.25	magenta	1	online	covert
472.5	6.25	yellow	4	online	covert
483.75	6.25	green	0	online	covert
495.0	6.25	magenta	1	online	covert
506.25	6.25	yellow	4	online	covert
517.5	6.25	orange	2	online	covert
528.75	6.25	green	0	online	covert
540.0	6.25	magenta	1	online	covert
551.25	6.25	violet	3	online	covert
