onset	duration	trial_type	value	session_type	task_condition
0.0	6.25	yellow	4	online	minimally overt
11.25	6.25	green	0	online	minimally overt
22.5	6.25	violet	3	online	minimally overt
33.75	6.25	orange	2	online	minimally overt
45.0	6.25	green	0	online	minimally overt
56.25	6.25	magenta	1	online	minimally overt
67.5	6.25	green	0	online	minimally overt
78.75	6.25	orange	2	online	minimally overt
90.0	6.25	green	0	online	minimally overt
101.25	6.25	orange	2	online	minimally overt
112.5	6.25	magenta	1	online	minimally overt
123.75	6.25	green	0	online	minimally overt
135.0	6.25	magenta	1	online	minimally overt
146.25	6.25	violet	3	online	minimally overt
157.5	6.25	yellow	4	online	minimally overt
168.75	6.25	green	0	online	minimally overt
180.0	6.25	violet	3	online	minimally overt
191.25	6.25	green	0	online	minimally overt
202.5	6.25	magenta	1	online	minimally overt
213.75	6.25	yellow	4	online	minimally overt
225.0	6.25	green	0	online	minimally overt
236.25	6.25	violet	3	online	minimally overt
247.5	6.25	green	0	online	minimally overt
258.75	6.25	magenta	1	online	minimally overt
270.0	6.25	green	0	online	minimally overt
281.25	6.25	magenta	1	online	minimally overt
292.5	6.25	orange	2	online	minimally overt
303.75	6.25	green	0	online	minimally overt
315.0	6.25	yellow	4	online	minimally overt
326.25	6.25	green	0	online	minimally overt
337.5	6.25	green	0	online	minimally overt
348.75	6.25	orange	2	online	minimally overt
360.0	6.25	yellow	4	online	minimally overt
371.25	6.25	magenta	1	online	minimally overt
382.5	6.25	green	0	online	minimally overt
393.75	6.25	violet	3	online	minimally overt
405.0	6.25	magenta	1	online	minimally overt
416.25	6.25	magenta	1	online	minimally overt
427.5	6.25	green	0	online	minimally overt
438.75	6.25	yellow	4	online	minimally overt
450.0	6.25	green	0	online	minimally overt
461.25	6.25	yellow	4	online	minimally overt
472.5	6.25	yellow	4	online	minimally overt
483.75	6.25	green	0	online	minimally overt
495.0	6.25	orange	2	online	minimally overt
506.25	6.25	orange	2	online	minimally overt
517.5	6.25	magenta	1	online	minimally overt
528.75	6.25	green	0	online	minimally overt
540.0	6.25	violet	3	online	minimally overt
551.25	6.25	green	0	online	minimally overt
