onset	duration	trial_type	value	session_type	task_condition
43.0703125	6.25	yellow	4	online	minimally overt
53.53125	6.25	green	0	online	minimally overt
63.83984375	6.25	green	0	online	minimally overt
187.3984375	6.25	violet	3	online	minimally overt
209.421875	6.25	yellow	4	online	minimally overt
220.03515625	6.25	magenta	1	online	minimally overt
241.87890625	6.25	violet	3	online	minimally overt
252.4921875	6.25	green	0	online	minimally overt
262.7265625	6.25	green	0	online	minimally overt
351.76171875	6.25	violet	3	online	minimally overt
362.84765625	6.25	magenta	1	online	minimally overt
373.24609375	6.25	magenta	1	online	minimally overt
383.84375	6.25	magenta	1	online	minimally overt
405.03125	6.25	orange	2	online	minimally overt
415.4921875	6.25	green	0	online	minimally overt
436.6015625	6.25	orange	2	online	minimally overt
447.05078125	6.25	green	0	online	minimally overt
525.34765625	6.25	orange	2	online	minimally overt
536.10546875	6.25	magenta	1	online	minimally overt
546.609375	6.25	magenta	1	online	minimally overt
568.1953125	6.25	green	0	online	minimally overt
578.953125	6.25	orange	2	online	minimally overt
600.13671875	6.25	green	0	online	minimally overt
610.625	6.25	orange	2	online	minimally overt
632.05078125	6.25	green	0	online	minimally overt
642.4375	6.25	green	0	online	minimally overt
652.640625	6.25	green	0	online	minimally overt
674.55859375	6.25	yellow	4	online	minimally overt
685.23828125	6.25	orange	2	online	minimally overt
707.33984375	6.25	yellow	4	online	minimally overt
717.83203125	6.25	green	0	online	minimally overt
739.7109375	6.25	yellow	4	online	minimally overt
750.3984375	6.25	orange	2	online	minimally overt
772.4453125	6.25	violet	3	online	minimally overt
782.98046875	6.25	orange	2	online	minimally overt
804.359375	6.25	violet	3	online	minimally overt
815.01953125	6.25	green	0	online	minimally overt
825.37109375	6.25	green	0	online	minimally overt
835.484375	6.25	green	0	online	minimally overt
856.53515625	6.25	magenta	1	online	minimally overt
867.1640625	6.25	magenta	1	online	minimally overt
877.83984375	6.25	green	0	online	minimally overt
888.25390625	6.25	green	0	online	minimally overt
909.74609375	6.25	orange	2	online	minimally overt
920.25	6.25	green	0	online	minimally overt
972.19921875	6.25	yellow	4	online	minimally overt
982.890625	6.25	orange	2	online	minimally overt
993.62890625	6.25	orange	2	online	minimally overt
1015.4296875	6.25	violet	3	online	minimally overt
1025.82421875	6.25	magenta	1	online	minimally overt
