onset	duration	trial_type	value	session_type	task_condition
83.4375	6.25	violet	3	online	minimally overt
93.86328125	6.25	green	0	online	minimally overt
108.7890625	6.25	yellow	4	online	minimally overt
119.99609375	6.25	magenta	1	online	minimally overt
130.5625	6.25	magenta	1	online	minimally overt
152.20703125	6.25	yellow	4	online	minimally overt
162.63671875	6.25	green	0	online	minimally overt
177.20703125	6.25	orange	2	online	minimally overt
188.43359375	6.25	magenta	1	online	minimally overt
198.91796875	6.25	green	0	online	minimally overt
213.3828125	6.25	yellow	4	online	minimally overt
235.57421875	6.25	magenta	1	online	minimally overt
246.34375	6.25	green	0	online	minimally overt
260.48046875	6.25	violet	3	online	minimally overt
271.56640625	6.25	orange	2	online	minimally overt
282.1875	6.25	green	0	online	minimally overt
296.5234375	6.25	green	0	online	minimally overt
307.54296875	6.25	orange	2	online	minimally overt
328.4921875	6.25	yellow	4	online	minimally overt
339.19921875	6.25	magenta	1	online	minimally overt
353.390625	6.25	green	0	online	minimally overt
364.55078125	6.25	magenta	1	online	minimally overt
375.27734375	6.25	magenta	1	online	minimally overt
396.515625	6.25	green	0	online	minimally overt
407.35546875	6.25	magenta	1	online	minimally overt
421.58203125	6.25	violet	3	online	minimally overt
442.7890625	6.25	yellow	4	online	minimally overt
453.1796875	6.25	green	0	online	minimally overt
467.609375	6.25	yellow	4	online	minimally overt
489.34375	6.25	orange	2	online	minimally overt
500.16015625	6.25	orange	2	online	minimally overt
520.71875	6.25	violet	3	online	minimally overt
531.54296875	6.25	green	0	online	minimally overt
545.89453125	6.25	violet	3	online	minimally overt
557.109375	6.25	magenta	1	online	minimally overt
567.6484375	6.25	magenta	1	online	minimally overt
578.15625	6.25	magenta	1	online	minimally overt
592.55859375	6.25	yellow	4	online	minimally overt
614.3515625	6.25	yellow	4	online	minimally overt
625.2890625	6.25	magenta	1	online	minimally overt
635.9140625	6.25	green	0	online	minimally overt
650.65625	6.25	orange	2	online	minimally overt
661.91796875	6.25	orange	2	online	minimally overt
672.40234375	6.25	green	0	online	minimally overt
686.796875	6.25	violet	3	online	minimally overt
697.828125	6.25	orange	2	online	minimally overt
719.90625	6.25	yellow	4	online	minimally overt
730.66796875	6.25	magenta	1	online	minimally overt
741.44921875	6.25	magenta	1	online	minimally overt
755.76171875	6.25	yellow	4	online	minimally overt
