onset	duration	trial_type	value	session_type	task_condition
84.4296875	6.25	violet	3	online	overt
95.0078125	6.25	green	0	online	overt
116.5234375	6.25	magenta	1	online	overt
126.859375	6.25	green	0	online	overt
147.7734375	6.25	orange	2	online	overt
158.15625	6.25	green	0	online	overt
179.48828125	6.25	magenta	1	online	overt
190.203125	6.25	magenta	1	online	overt
212.1953125	6.25	orange	2	online	overt
222.54296875	6.25	green	0	online	overt
244.66796875	6.25	yellow	4	online	overt
255.296875	6.25	green	0	online	overt
270.19140625	6.25	yellow	4	online	overt
281.48828125	6.25	magenta	1	online	overt
295.93359375	6.25	violet	3	online	overt
306.9921875	6.25	orange	2	online	overt
321.421875	6.25	green	0	online	overt
332.6484375	6.25	magenta	1	online	overt
346.90234375	6.25	orange	2	online	overt
358.20703125	6.25	orange	2	online	overt
372.37109375	6.25	violet	3	online	overt
383.5703125	6.25	green	0	online	overt
397.58984375	6.25	yellow	4	online	overt
408.578125	6.25	magenta	1	online	overt
419.01171875	6.25	orange	2	online	overt
429.69140625	6.25	green	0	online	overt
451.64453125	6.25	yellow	4	online	overt
462.19140625	6.25	green	0	online	overt
483.6015625	6.25	violet	3	online	overt
494.26171875	6.25	green	0	online	overt
504.84375	6.25	magenta	1	online	overt
519.34375	6.25	yellow	4	online	overt
530.40625	6.25	green	0	online	overt
552.1953125	6.25	orange	2	online	overt
562.8046875	6.25	green	0	online	overt
584.1640625	6.25	magenta	1	online	overt
594.78515625	6.25	green	0	online	overt
605.27734375	6.25	magenta	1	online	overt
626.4375	6.25	orange	2	online	overt
637.08984375	6.25	orange	2	online	overt
651.18359375	6.25	violet	3	online	overt
662.1015625	6.25	magenta	1	online	overt
675.9140625	6.25	green	0	online	overt
687.1796875	6.25	orange	2	online	overt
697.84375	6.25	green	0	online	overt
718.92578125	6.25	yellow	4	online	overt
729.54296875	6.25	magenta	1	online	overt
744.125	6.25	violet	3	online	overt
755.203125	6.25	orange	2	online	overt
769.36328125	6.25	magenta	1	online	overt
