onset	duration	trial_type	value	session_type	task_condition
79.34765625	6.25	green	0	calibration	overt
89.73046875	6.25	green	0	calibration	overt
100.3671875	6.25	magenta	1	calibration	overt
121.7890625	6.25	yellow	4	calibration	overt
132.64453125	6.25	green	0	calibration	overt
143.0234375	6.25	green	0	calibration	overt
157.67578125	6.25	yellow	4	calibration	overt
168.83203125	6.25	orange	2	calibration	overt
190.94921875	6.25	violet	3	calibration	overt
201.6640625	6.25	green	0	calibration	overt
223.33203125	6.25	magenta	1	calibration	overt
234.11328125	6.25	green	0	calibration	overt
244.6171875	6.25	green	0	calibration	overt
266.6953125	6.25	yellow	4	calibration	overt
277.19140625	6.25	green	0	calibration	overt
298.61328125	6.25	green	0	calibration	overt
309.203125	6.25	green	0	calibration	overt
323.6328125	6.25	orange	2	calibration	overt
334.75390625	6.25	magenta	1	calibration	overt
355.38671875	6.25	orange	2	calibration	overt
365.9140625	6.25	green	0	calibration	overt
376.453125	6.25	magenta	1	calibration	overt
390.99609375	6.25	violet	3	calibration	overt
402.0703125	6.25	orange	2	calibration	overt
422.03515625	6.25	yellow	4	calibration	overt
432.78125	6.25	green	0	calibration	overt
443.171875	6.25	magenta	1	calibration	overt
463.2421875	6.25	orange	2	calibration	overt
473.8828125	6.25	green	0	calibration	overt
484.34375	6.25	orange	2	calibration	overt
498.78125	6.25	green	0	calibration	overt
509.91796875	6.25	magenta	1	calibration	overt
520.265625	6.25	orange	2	calibration	overt
534.30859375	6.25	yellow	4	calibration	overt
554.31640625	6.25	violet	3	calibration	overt
565.0	6.25	green	0	calibration	overt
578.94140625	6.25	yellow	4	calibration	overt
599.53125	6.25	green	0	calibration	overt
609.9453125	6.25	green	0	calibration	overt
620.2890625	6.25	magenta	1	calibration	overt
634.76171875	6.25	green	0	calibration	overt
645.73828125	6.25	magenta	1	calibration	overt
656.31640625	6.25	green	0	calibration	overt
666.88671875	6.25	magenta	1	calibration	overt
687.21875	6.25	yellow	4	calibration	overt
697.734375	6.25	green	0	calibration	overt
718.38671875	6.25	violet	3	calibration	overt
728.984375	6.25	green	0	calibration	overt
743.07421875	6.25	violet	3	calibration	overt
754.08203125	6.25	green	0	calibration	overt
764.71875	6.25	magenta	1	calibration	overt
774.96875	6.25	green	0	calibration	overt
789.40234375	6.25	orange	2	calibration	overt
800.5	6.25	orange	2	calibration	overt
810.99609375	6.25	magenta	1	calibration	overt
825.46875	6.25	violet	3	calibration	overt
836.5546875	6.25	green	0	calibration	overt
850.3671875	6.25	magenta	1	calibration	overt
861.30078125	6.25	orange	2	calibration	overt
872.0078125	6.25	green	0	calibration	overt
892.47265625	6.25	green	0	calibration	overt
903.1484375	6.25	magenta	1	calibration	overt
917.40234375	6.25	magenta	1	calibration	overt
937.28515625	6.25	violet	3	calibration	overt
947.81640625	6.25	green	0	calibration	overt
958.4140625	6.25	magenta	1	calibration	overt
972.49609375	6.25	orange	2	calibration	overt
983.609375	6.25	green	0	calibration	overt
997.5546875	6.25	yellow	4	calibration	overt
1008.6796875	6.25	magenta	1	calibration	overt
1028.46484375	6.25	violet	3	calibration	overt
1039.14453125	6.25	orange	2	calibration	overt
1049.71875	6.25	green	0	calibration	overt
1060.078125	6.25	green	0	calibration	overt
1080.49609375	6.25	green	0	calibration	overt
1091.08203125	6.25	magenta	1	calibration	overt
1111.26953125	6.25	yellow	4	calibration	overt
1122.0390625	6.25	green	0	calibration	overt
1143.0	6.25	orange	2	calibration	overt
1153.875	6.25	magenta	1	calibration	overt
1168.28515625	6.25	violet	3	calibration	overt
1179.33203125	6.25	green	0	calibration	overt
1189.796875	6.25	magenta	1	calibration	overt
1204.0234375	6.25	yellow	4	calibration	overt
1215.16796875	6.25	green	0	calibration	overt
1229.25	6.25	orange	2	calibration	overt
1249.734375	6.25	magenta	1	calibration	overt
1260.30859375	6.25	green	0	calibration	overt
1280.76953125	6.25	violet	3	calibration	overt
1291.20703125	6.25	green	0	calibration	overt
1311.71875	6.25	magenta	1	calibration	overt
1322.15234375	6.25	green	0	calibration	overt
1332.5234375	6.25	green	0	calibration	overt
1342.75	6.25	green	0	calibration	overt
1363.0	6.25	orange	2	calibration	overt
1373.421875	6.25	green	0	calibration	overt
1383.7109375	6.25	orange	2	calibration	overt
1394.0625	6.25	magenta	1	calibration	overt
1408.4453125	6.25	violet	3	calibration	overt
1419.60546875	6.25	green	0	calibration	overt
1429.984375	6.25	orange	2	calibration	overt
