onset	duration	trial_type	value	session_type	task_condition
78.65625	6.25	violet	3	calibration	overt
89.015625	6.25	green	0	calibration	overt
107.96875	6.25	yellow	4	calibration	overt
118.375	6.25	magenta	1	calibration	overt
128.64453125	6.25	magenta	1	calibration	overt
142.9140625	6.25	orange	2	calibration	overt
164.921875	6.25	violet	3	calibration	overt
175.578125	6.25	green	0	calibration	overt
189.62890625	6.25	magenta	1	calibration	overt
200.65625	6.25	orange	2	calibration	overt
214.359375	6.25	violet	3	calibration	overt
235.8203125	6.25	yellow	4	calibration	overt
246.5546875	6.25	magenta	1	calibration	overt
256.85546875	6.25	magenta	1	calibration	overt
267.1484375	6.25	green	0	calibration	overt
277.41015625	6.25	green	0	calibration	overt
298.9921875	6.25	orange	2	calibration	overt
309.71875	6.25	magenta	1	calibration	overt
320.3359375	6.25	green	0	calibration	overt
330.65625	6.25	magenta	1	calibration	overt
351.56640625	6.25	violet	3	calibration	overt
362.14453125	6.25	magenta	1	calibration	overt
372.2734375	6.25	magenta	1	calibration	overt
386.47265625	6.25	yellow	4	calibration	overt
397.34375	6.25	orange	2	calibration	overt
417.37890625	6.25	violet	3	calibration	overt
428.046875	6.25	orange	2	calibration	overt
438.51953125	6.25	green	0	calibration	overt
452.875	6.25	yellow	4	calibration	overt
464.01171875	6.25	orange	2	calibration	overt
484.3984375	6.25	yellow	4	calibration	overt
495.11328125	6.25	magenta	1	calibration	overt
505.7109375	6.25	green	0	calibration	overt
519.9296875	6.25	violet	3	calibration	overt
542.31640625	6.25	yellow	4	calibration	overt
552.98046875	6.25	magenta	1	calibration	overt
567.13671875	6.25	orange	2	calibration	overt
578.203125	6.25	green	0	calibration	overt
591.9453125	6.25	magenta	1	calibration	overt
602.95703125	6.25	magenta	1	calibration	overt
613.5	6.25	green	0	calibration	overt
623.91015625	6.25	green	0	calibration	overt
634.2109375	6.25	green	0	calibration	overt
644.68359375	6.25	magenta	1	calibration	overt
666.359375	6.25	yellow	4	calibration	overt
677.09765625	6.25	magenta	1	calibration	overt
698.953125	6.25	violet	3	calibration	overt
709.58203125	6.25	green	0	calibration	overt
719.87109375	6.25	green	0	calibration	overt
740.76171875	6.25	yellow	4	calibration	overt
751.48828125	6.25	orange	2	calibration	overt
765.44140625	6.25	violet	3	calibration	overt
776.27734375	6.25	orange	2	calibration	overt
786.48046875	6.25	magenta	1	calibration	overt
797.0625	6.25	green	0	calibration	overt
817.6953125	6.25	yellow	4	calibration	overt
828.07421875	6.25	orange	2	calibration	overt
838.25	6.25	green	0	calibration	overt
859.375	6.25	violet	3	calibration	overt
869.8828125	6.25	green	0	calibration	overt
880.11328125	6.25	magenta	1	calibration	overt
901.66015625	6.25	orange	2	calibration	overt
912.05859375	6.25	magenta	1	calibration	overt
922.40234375	6.25	magenta	1	calibration	overt
943.8125	6.25	yellow	4	calibration	overt
954.578125	6.25	magenta	1	calibration	overt
964.74609375	6.25	green	0	calibration	overt
979.140625	6.25	violet	3	calibration	overt
990.359375	6.25	orange	2	calibration	overt
1011.984375	6.25	violet	3	calibration	overt
1022.6875	6.25	orange	2	calibration	overt
1033.234375	6.25	green	0	calibration	overt
1055.05078125	6.25	yellow	4	calibration	overt
1065.70703125	6.25	orange	2	calibration	overt
1076.078125	6.25	magenta	1	calibration	overt
1086.53515625	6.25	green	0	calibration	overt
1097.08984375	6.25	green	0	calibration	overt
1107.3671875	6.25	violet	3	calibration	overt
1117.61328125	6.25	yellow	4	calibration	overt
1127.7578125	6.25	orange	2	calibration	overt
1138.1484375	6.25	magenta	1	calibration	overt
1159.97265625	6.25	violet	3	calibration	overt
1170.59765625	6.25	green	0	calibration	overt
1184.83203125	6.25	orange	2	calibration	overt
1195.9140625	6.25	orange	2	calibration	overt
1217.46484375	6.25	yellow	4	calibration	overt
1228.13671875	6.25	magenta	1	calibration	overt
1238.49609375	6.25	orange	2	calibration	overt
1248.875	6.25	green	0	calibration	overt
1269.60546875	6.25	violet	3	calibration	overt
1279.99609375	6.25	orange	2	calibration	overt
1294.1015625	6.25	yellow	4	calibration	overt
1305.0546875	6.25	magenta	1	calibration	overt
1315.73046875	6.25	green	0	calibration	overt
1326.0078125	6.25	magenta	1	calibration	overt
1336.31640625	6.25	violet	3	calibration	overt
1358.125	6.25	orange	2	calibration	overt
1368.5546875	6.25	green	0	calibration	overt
1390.3046875	6.25	yellow	4	calibration	overt
1400.8046875	6.25	magenta	1	calibration	overt
