onset	duration	trial_type	value	session_type	task_condition
36.3125	6.25	violet	3	calibration	minimally overt
47.12109375	6.25	magenta	1	calibration	minimally overt
57.57421875	6.25	green	0	calibration	minimally overt
71.6328125	6.25	orange	2	calibration	minimally overt
82.640625	6.25	magenta	1	calibration	minimally overt
93.1015625	6.25	magenta	1	calibration	minimally overt
107.26953125	6.25	violet	3	calibration	minimally overt
118.109375	6.25	green	0	calibration	minimally overt
132.0	6.25	yellow	4	calibration	minimally overt
143.015625	6.25	magenta	1	calibration	minimally overt
153.40234375	6.25	orange	2	calibration	minimally overt
176.234375	6.25	violet	3	calibration	minimally overt
186.7578125	6.25	green	0	calibration	minimally overt
197.14453125	6.25	green	0	calibration	minimally overt
211.27734375	6.25	orange	2	calibration	minimally overt
222.359375	6.25	magenta	1	calibration	minimally overt
232.83984375	6.25	green	0	calibration	minimally overt
243.30859375	6.25	green	0	calibration	minimally overt
265.421875	6.25	yellow	4	calibration	minimally overt
275.9609375	6.25	green	0	calibration	minimally overt
286.41015625	6.25	magenta	1	calibration	minimally overt
296.57421875	6.25	magenta	1	calibration	minimally overt
306.88671875	6.25	green	0	calibration	minimally overt
320.82421875	6.25	violet	3	calibration	minimally overt
341.1171875	6.25	yellow	4	calibration	minimally overt
351.68359375	6.25	green	0	calibration	minimally overt
362.01171875	6.25	green	0	calibration	minimally overt
376.10546875	6.25	violet	3	calibration	minimally overt
386.9375	6.25	magenta	1	calibration	minimally overt
397.50390625	6.25	magenta	1	calibration	minimally overt
407.71875	6.25	green	0	calibration	minimally overt
418.04296875	6.25	green	0	calibration	minimally overt
428.36328125	6.25	magenta	1	calibration	minimally overt
448.3671875	6.25	orange	2	calibration	minimally overt
458.71484375	6.25	green	0	calibration	minimally overt
469.0078125	6.25	magenta	1	calibration	minimally overt
483.0234375	6.25	violet	3	calibration	minimally overt
493.97265625	6.25	orange	2	calibration	minimally overt
504.2734375	6.25	orange	2	calibration	minimally overt
524.40234375	6.25	yellow	4	calibration	minimally overt
534.71875	6.25	green	0	calibration	minimally overt
544.9296875	6.25	magenta	1	calibration	minimally overt
555.1875	6.25	magenta	1	calibration	minimally overt
575.57421875	6.25	violet	3	calibration	minimally overt
586.0859375	6.25	green	0	calibration	minimally overt
599.95703125	6.25	orange	2	calibration	minimally overt
610.74609375	6.25	orange	2	calibration	minimally overt
630.9375	6.25	yellow	4	calibration	minimally overt
641.6484375	6.25	green	0	calibration	minimally overt
655.67578125	6.25	violet	3	calibration	minimally overt
675.796875	6.25	yellow	4	calibration	minimally overt
686.34765625	6.25	magenta	1	calibration	minimally overt
696.67578125	6.25	green	0	calibration	minimally overt
710.8203125	6.25	orange	2	calibration	minimally overt
731.65625	6.25	yellow	4	calibration	minimally overt
742.40234375	6.25	green	0	calibration	minimally overt
756.3203125	6.25	violet	3	calibration	minimally overt
776.33984375	6.25	yellow	4	calibration	minimally overt
786.76953125	6.25	green	0	calibration	minimally overt
800.63671875	6.25	orange	2	calibration	minimally overt
811.6328125	6.25	orange	2	calibration	minimally overt
832.0234375	6.25	magenta	1	calibration	minimally overt
842.3359375	6.25	green	0	calibration	minimally overt
852.71484375	6.25	green	0	calibration	minimally overt
866.796875	6.25	violet	3	calibration	minimally overt
887.28515625	6.25	yellow	4	calibration	minimally overt
897.8359375	6.25	magenta	1	calibration	minimally overt
911.83984375	6.25	orange	2	calibration	minimally overt
922.7890625	6.25	magenta	1	calibration	minimally overt
933.203125	6.25	magenta	1	calibration	minimally overt
943.796875	6.25	magenta	1	calibration	minimally overt
963.7890625	6.25	violet	3	calibration	minimally overt
974.46875	6.25	magenta	1	calibration	minimally overt
984.68359375	6.25	orange	2	calibration	minimally overt
1004.49609375	6.25	green	0	calibration	minimally overt
1015.08984375	6.25	green	0	calibration	minimally overt
1028.92578125	6.25	violet	3	calibration	minimally overt
1049.796875	6.25	yellow	4	calibration	minimally overt
1060.2265625	6.25	green	0	calibration	minimally overt
1074.1796875	6.25	orange	2	calibration	minimally overt
1085.05859375	6.25	magenta	1	calibration	minimally overt
1095.55859375	6.25	magenta	1	calibration	minimally overt
1109.55078125	6.25	violet	3	calibration	minimally overt
1120.4296875	6.25	orange	2	calibration	minimally overt
1139.92578125	6.25	yellow	4	calibration	minimally overt
1150.5	6.25	green	0	calibration	minimally overt
1170.2734375	6.25	violet	3	calibration	minimally overt
1180.90625	6.25	magenta	1	calibration	minimally overt
1191.4765625	6.25	green	0	calibration	minimally overt
1201.8125	6.25	green	0	calibration	minimally overt
1212.0546875	6.25	magenta	1	calibration	minimally overt
1222.33984375	6.25	magenta	1	calibration	minimally overt
1232.5546875	6.25	green	0	calibration	minimally overt
1242.86328125	6.25	green	0	calibration	minimally overt
1253.15625	6.25	magenta	1	calibration	minimally overt
1273.05859375	6.25	orange	2	calibration	minimally overt
1283.5234375	6.25	green	0	calibration	minimally overt
1303.88671875	6.25	violet	3	calibration	minimally overt
1314.40625	6.25	orange	2	calibration	minimally overt
1324.62890625	6.25	orange	2	calibration	minimally overt
