onset	duration	trial_type	value	session_type	task_condition
237.69140625	6.25	yellow	4	online	overt
248.25	6.25	green	0	online	overt
356.84765625	6.25	violet	3	online	overt
379.140625	6.25	violet	3	online	overt
390.0	6.25	magenta	1	online	overt
411.23828125	6.25	yellow	4	online	overt
421.6640625	6.25	green	0	online	overt
517.73828125	6.25	orange	2	online	overt
528.80078125	6.25	magenta	1	online	overt
539.296875	6.25	magenta	1	online	overt
549.59765625	6.25	magenta	1	online	overt
570.90234375	6.25	violet	3	online	overt
581.75390625	6.25	green	0	online	overt
602.734375	6.25	orange	2	online	overt
613.5703125	6.25	magenta	1	online	overt
624.04296875	6.25	green	0	online	overt
730.62109375	6.25	violet	3	online	overt
752.3671875	6.25	violet	3	online	overt
762.828125	6.25	green	0	online	overt
773.265625	6.25	green	0	online	overt
783.55859375	6.25	magenta	1	online	overt
804.90625	6.25	yellow	4	online	overt
815.39453125	6.25	green	0	online	overt
825.6484375	6.25	green	0	online	overt
916.85546875	6.25	orange	2	online	overt
928.0703125	6.25	magenta	1	online	overt
938.53125	6.25	magenta	1	online	overt
949.01171875	6.25	magenta	1	online	overt
959.4453125	6.25	green	0	online	overt
970.05078125	6.25	green	0	online	overt
1061.0390625	6.25	orange	2	online	overt
1072.11328125	6.25	orange	2	online	overt
1093.21875	6.25	violet	3	online	overt
1103.6796875	6.25	green	0	online	overt
1113.96484375	6.25	green	0	online	overt
1124.203125	6.25	green	0	online	overt
1134.44921875	6.25	magenta	1	online	overt
1155.6328125	6.25	yellow	4	online	overt
1166.38671875	6.25	magenta	1	online	overt
1177.07421875	6.25	green	0	online	overt
1198.234375	6.25	orange	2	online	overt
1209.08203125	6.25	magenta	1	online	overt
1219.66015625	6.25	green	0	online	overt
1317.265625	6.25	violet	3	online	overt
1328.40625	6.25	magenta	1	online	overt
1338.75390625	6.25	magenta	1	online	overt
1349.3203125	6.25	green	0	online	overt
1463.79296875	6.25	yellow	4	online	overt
1485.7421875	6.25	violet	3	online	overt
1496.25390625	6.25	green	0	online	overt
1606.82421875	6.25	orange	2	online	overt
