onset	duration	trial_type	value	session_type	task_condition
61.921875	6.25	violet	3	calibration	covert
74.22265625	6.25	green	0	calibration	covert
86.21875	6.25	green	0	calibration	covert
100.87890625	6.25	magenta	1	calibration	covert
119.53515625	6.25	yellow	4	calibration	covert
131.7421875	6.25	green	0	calibration	covert
146.421875	6.25	orange	2	calibration	covert
158.85546875	6.25	magenta	1	calibration	covert
177.96875	6.25	yellow	4	calibration	covert
190.47265625	6.25	orange	2	calibration	covert
204.97265625	6.25	violet	3	calibration	covert
217.64453125	6.25	green	0	calibration	covert
236.77734375	6.25	yellow	4	calibration	covert
249.109375	6.25	magenta	1	calibration	covert
261.21875	6.25	green	0	calibration	covert
273.42578125	6.25	green	0	calibration	covert
285.5859375	6.25	magenta	1	calibration	covert
297.74609375	6.25	magenta	1	calibration	covert
309.734375	6.25	green	0	calibration	covert
321.7109375	6.25	green	0	calibration	covert
339.5078125	6.25	violet	3	calibration	covert
351.51953125	6.25	green	0	calibration	covert
369.3203125	6.25	yellow	4	calibration	covert
381.63671875	6.25	magenta	1	calibration	covert
393.87109375	6.25	magenta	1	calibration	covert
406.0078125	6.25	green	0	calibration	covert
420.6015625	6.25	violet	3	calibration	covert
433.19140625	6.25	orange	2	calibration	covert
445.2265625	6.25	orange	2	calibration	covert
459.5234375	6.25	yellow	4	calibration	covert
477.6171875	6.25	yellow	4	calibration	covert
489.8203125	6.25	green	0	calibration	covert
507.59765625	6.25	violet	3	calibration	covert
519.60546875	6.25	magenta	1	calibration	covert
531.55078125	6.25	magenta	1	calibration	covert
549.390625	6.25	orange	2	calibration	covert
561.5078125	6.25	green	0	calibration	covert
573.62109375	6.25	green	0	calibration	covert
591.4375	6.25	violet	3	calibration	covert
603.51171875	6.25	magenta	1	calibration	covert
615.57421875	6.25	green	0	calibration	covert
633.2734375	6.25	orange	2	calibration	covert
645.39453125	6.25	magenta	1	calibration	covert
659.96484375	6.25	yellow	4	calibration	covert
678.26953125	6.25	violet	3	calibration	covert
690.5625	6.25	green	0	calibration	covert
708.12890625	6.25	orange	2	calibration	covert
720.47265625	6.25	magenta	1	calibration	covert
738.625	6.25	violet	3	calibration	covert
750.9140625	6.25	magenta	1	calibration	covert
763.0859375	6.25	green	0	calibration	covert
774.99609375	6.25	green	0	calibration	covert
786.96484375	6.25	magenta	1	calibration	covert
798.98046875	6.25	magenta	1	calibration	covert
811.0546875	6.25	green	0	calibration	covert
828.92578125	6.25	yellow	4	calibration	covert
841.1640625	6.25	orange	2	calibration	covert
853.4375	6.25	magenta	1	calibration	covert
865.4375	6.25	green	0	calibration	covert
877.48828125	6.25	green	0	calibration	covert
895.609375	6.25	violet	3	calibration	covert
907.91015625	6.25	orange	2	calibration	covert
920.17578125	6.25	magenta	1	calibration	covert
937.875	6.25	yellow	4	calibration	covert
950.1015625	6.25	green	0	calibration	covert
962.1953125	6.25	magenta	1	calibration	covert
976.67578125	6.25	violet	3	calibration	covert
989.21875	6.25	orange	2	calibration	covert
1001.37109375	6.25	orange	2	calibration	covert
1013.4921875	6.25	magenta	1	calibration	covert
1025.421875	6.25	green	0	calibration	covert
1043.234375	6.25	yellow	4	calibration	covert
1055.4609375	6.25	magenta	1	calibration	covert
1073.375	6.25	orange	2	calibration	covert
1085.5390625	6.25	green	0	calibration	covert
1103.34375	6.25	violet	3	calibration	covert
1115.4140625	6.25	magenta	1	calibration	covert
1127.4609375	6.25	green	0	calibration	covert
1142.07421875	6.25	yellow	4	calibration	covert
1154.5	6.25	orange	2	calibration	covert
1166.63671875	6.25	orange	2	calibration	covert
1178.8359375	6.25	orange	2	calibration	covert
1191.01953125	6.25	magenta	1	calibration	covert
1203.015625	6.25	green	0	calibration	covert
1214.96484375	6.25	green	0	calibration	covert
1232.9296875	6.25	yellow	4	calibration	covert
1245.01171875	6.25	magenta	1	calibration	covert
1257.01953125	6.25	magenta	1	calibration	covert
1274.64453125	6.25	violet	3	calibration	covert
1286.8046875	6.25	green	0	calibration	covert
1298.82421875	6.25	green	0	calibration	covert
1310.9609375	6.25	magenta	1	calibration	covert
1328.67578125	6.25	yellow	4	calibration	covert
1340.87890625	6.25	green	0	calibration	covert
1355.4140625	6.25	violet	3	calibration	covert
1367.9609375	6.25	orange	2	calibration	covert
1380.1171875	6.25	orange	2	calibration	covert
1392.2578125	6.25	orange	2	calibration	covert
1406.56640625	6.25	violet	3	calibration	covert
1419.13671875	6.25	magenta	1	calibration	covert
