onset	duration	trial_type	value	session_type	task_condition
81.96484375	6.25	orange	2	online	covert
94.28125	6.25	green	0	online	covert
112.57421875	6.25	yellow	4	online	covert
124.671875	6.25	green	0	online	covert
209.6328125	6.25	violet	3	online	covert
222.22265625	6.25	orange	2	online	covert
346.37890625	6.25	violet	3	online	covert
359.08203125	6.25	orange	2	online	covert
371.15234375	6.25	green	0	online	covert
383.17578125	6.25	magenta	1	online	covert
395.37890625	6.25	magenta	1	online	covert
489.34765625	6.25	yellow	4	online	covert
501.94140625	6.25	orange	2	online	covert
616.13671875	6.25	yellow	4	online	covert
628.765625	6.25	orange	2	online	covert
640.8359375	6.25	magenta	1	online	covert
652.91015625	6.25	magenta	1	online	covert
665.0390625	6.25	green	0	online	covert
774.55078125	6.25	violet	3	online	covert
787.38671875	6.25	magenta	1	online	covert
799.61328125	6.25	magenta	1	online	covert
811.78515625	6.25	magenta	1	online	covert
931.1484375	6.25	orange	2	online	covert
943.6796875	6.25	orange	2	online	covert
1023.0625	6.25	yellow	4	online	covert
1035.609375	6.25	orange	2	online	covert
1047.71484375	6.25	magenta	1	online	covert
1152.125	6.25	yellow	4	online	covert
1164.8984375	6.25	orange	2	online	covert
1176.97265625	6.25	orange	2	online	covert
1189.26171875	6.25	magenta	1	online	covert
1201.2421875	6.25	magenta	1	online	covert
1300.43359375	6.25	violet	3	online	covert
1312.95703125	6.25	orange	2	online	covert
1330.75390625	6.25	green	0	online	covert
1342.94921875	6.25	green	0	online	covert
1354.9609375	6.25	green	0	online	covert
1367.01953125	6.25	magenta	1	online	covert
1384.88671875	6.25	violet	3	online	covert
1396.9921875	6.25	green	0	online	covert
1408.9140625	6.25	green	0	online	covert
1426.390625	6.25	orange	2	online	covert
1438.8359375	6.25	magenta	1	online	covert
1450.93359375	6.25	magenta	1	online	covert
1468.78515625	6.25	yellow	4	online	covert
1480.92578125	6.25	magenta	1	online	covert
1499.05859375	6.25	violet	3	online	covert
1511.0859375	6.25	green	0	online	covert
1645.8359375	6.25	orange	2	online	covert
1658.45703125	6.25	magenta	1	online	covert
