onset	duration	trial_type	value	session_type	task_condition
35.88671875	6.25	yellow	4	online	minimally overt
46.1953125	6.25	magenta	1	online	minimally overt
56.15625	6.25	magenta	1	online	minimally overt
71.66796875	6.25	yellow	4	online	minimally overt
81.76171875	6.25	green	0	online	minimally overt
177.8125	6.25	orange	2	online	minimally overt
188.640625	6.25	orange	2	online	minimally overt
205.01171875	6.25	yellow	4	online	minimally overt
215.25390625	6.25	green	0	online	minimally overt
313.40625	6.25	violet	3	online	minimally overt
324.1328125	6.25	orange	2	online	minimally overt
339.7578125	6.25	violet	3	online	minimally overt
349.96875	6.25	green	0	online	minimally overt
454.36328125	6.25	orange	2	online	minimally overt
464.921875	6.25	magenta	1	online	minimally overt
475.12109375	6.25	magenta	1	online	minimally overt
490.640625	6.25	orange	2	online	minimally overt
500.8203125	6.25	green	0	online	minimally overt
510.79296875	6.25	green	0	online	minimally overt
580.421875	6.25	violet	3	online	minimally overt
591.09375	6.25	orange	2	online	minimally overt
607.05078125	6.25	magenta	1	online	minimally overt
617.1328125	6.25	green	0	online	minimally overt
627.15234375	6.25	green	0	online	minimally overt
694.359375	6.25	violet	3	online	minimally overt
704.98046875	6.25	magenta	1	online	minimally overt
715.078125	6.25	magenta	1	online	minimally overt
725.0546875	6.25	magenta	1	online	minimally overt
735.26953125	6.25	magenta	1	online	minimally overt
751.1796875	6.25	green	0	online	minimally overt
761.41796875	6.25	magenta	1	online	minimally overt
776.80078125	6.25	orange	2	online	minimally overt
787.140625	6.25	orange	2	online	minimally overt
802.765625	6.25	violet	3	online	minimally overt
812.92578125	6.25	magenta	1	online	minimally overt
828.92578125	6.25	yellow	4	online	minimally overt
839.3359375	6.25	magenta	1	online	minimally overt
849.546875	6.25	magenta	1	online	minimally overt
859.765625	6.25	magenta	1	online	minimally overt
875.53125	6.25	orange	2	online	minimally overt
885.90625	6.25	magenta	1	online	minimally overt
896.10546875	6.25	magenta	1	online	minimally overt
906.2109375	6.25	magenta	1	online	minimally overt
921.68359375	6.25	green	0	online	minimally overt
931.7734375	6.25	green	0	online	minimally overt
941.87890625	6.25	green	0	online	minimally overt
951.91015625	6.25	green	0	online	minimally overt
967.43359375	6.25	green	0	online	minimally overt
977.5390625	6.25	magenta	1	online	minimally overt
993.4921875	6.25	green	0	online	minimally overt
1003.70703125	6.25	green	0	online	minimally overt
1082.34375	6.25	orange	2	online	minimally overt
1092.9140625	6.25	magenta	1	online	minimally overt
1103.171875	6.25	magenta	1	online	minimally overt
