onset	duration	trial_type	value	session_type	task_condition
58.96484375	6.25	yellow	4	calibration	minimally overt
68.859375	6.25	green	0	calibration	minimally overt
81.0625	6.25	orange	2	calibration	minimally overt
91.2734375	6.25	magenta	1	calibration	minimally overt
102.921875	6.25	orange	2	calibration	minimally overt
113.15625	6.25	magenta	1	calibration	minimally overt
123.08984375	6.25	magenta	1	calibration	minimally overt
134.9921875	6.25	violet	3	calibration	minimally overt
145.21875	6.25	violet	3	calibration	minimally overt
159.36328125	6.25	yellow	4	calibration	minimally overt
169.30078125	6.25	green	0	calibration	minimally overt
183.39453125	6.25	violet	3	calibration	minimally overt
193.25390625	6.25	green	0	calibration	minimally overt
203.08984375	6.25	orange	2	calibration	minimally overt
217.38671875	6.25	yellow	4	calibration	minimally overt
227.18359375	6.25	magenta	1	calibration	minimally overt
236.88671875	6.25	green	0	calibration	minimally overt
246.68359375	6.25	orange	2	calibration	minimally overt
258.59375	6.25	violet	3	calibration	minimally overt
268.82421875	6.25	yellow	4	calibration	minimally overt
283.109375	6.25	green	0	calibration	minimally overt
293.26171875	6.25	yellow	4	calibration	minimally overt
303.140625	6.25	violet	3	calibration	minimally overt
312.96484375	6.25	magenta	1	calibration	minimally overt
325.0	6.25	orange	2	calibration	minimally overt
335.21875	6.25	green	0	calibration	minimally overt
349.328125	6.25	yellow	4	calibration	minimally overt
359.21875	6.25	green	0	calibration	minimally overt
371.26171875	6.25	magenta	1	calibration	minimally overt
381.3359375	6.25	green	0	calibration	minimally overt
395.34765625	6.25	violet	3	calibration	minimally overt
405.31640625	6.25	orange	2	calibration	minimally overt
419.4921875	6.25	yellow	4	calibration	minimally overt
429.5625	6.25	magenta	1	calibration	minimally overt
439.45703125	6.25	green	0	calibration	minimally overt
449.1328125	6.25	magenta	1	calibration	minimally overt
458.9140625	6.25	green	0	calibration	minimally overt
468.7109375	6.25	violet	3	calibration	minimally overt
480.625	6.25	yellow	4	calibration	minimally overt
490.78515625	6.25	orange	2	calibration	minimally overt
502.61328125	6.25	orange	2	calibration	minimally overt
512.8203125	6.25	violet	3	calibration	minimally overt
526.8125	6.25	yellow	4	calibration	minimally overt
536.91015625	6.25	green	0	calibration	minimally overt
546.75	6.25	magenta	1	calibration	minimally overt
556.63671875	6.25	green	0	calibration	minimally overt
566.38671875	6.25	green	0	calibration	minimally overt
580.24609375	6.25	orange	2	calibration	minimally overt
590.08203125	6.25	green	0	calibration	minimally overt
604.24609375	6.25	orange	2	calibration	minimally overt
614.203125	6.25	yellow	4	calibration	minimally overt
626.16796875	6.25	violet	3	calibration	minimally overt
636.32421875	6.25	magenta	1	calibration	minimally overt
650.484375	6.25	violet	3	calibration	minimally overt
660.33984375	6.25	green	0	calibration	minimally overt
672.47265625	6.25	orange	2	calibration	minimally overt
682.58984375	6.25	magenta	1	calibration	minimally overt
694.33984375	6.25	violet	3	calibration	minimally overt
704.61328125	6.25	magenta	1	calibration	minimally overt
714.390625	6.25	violet	3	calibration	minimally overt
726.421875	6.25	orange	2	calibration	minimally overt
736.6484375	6.25	magenta	1	calibration	minimally overt
750.65625	6.25	yellow	4	calibration	minimally overt
760.6953125	6.25	green	0	calibration	minimally overt
774.95703125	6.25	yellow	4	calibration	minimally overt
784.94921875	6.25	green	0	calibration	minimally overt
798.9765625	6.25	yellow	4	calibration	minimally overt
809.03515625	6.25	green	0	calibration	minimally overt
823.3046875	6.25	violet	3	calibration	minimally overt
833.3125	6.25	green	0	calibration	minimally overt
843.19140625	6.25	magenta	1	calibration	minimally overt
855.15625	6.25	orange	2	calibration	minimally overt
865.359375	6.25	magenta	1	calibration	minimally overt
875.16015625	6.25	magenta	1	calibration	minimally overt
884.9765625	6.25	magenta	1	calibration	minimally overt
894.76171875	6.25	violet	3	calibration	minimally overt
906.76171875	6.25	orange	2	calibration	minimally overt
916.953125	6.25	orange	2	calibration	minimally overt
926.9296875	6.25	orange	2	calibration	minimally overt
938.8984375	6.25	orange	2	calibration	minimally overt
949.1328125	6.25	yellow	4	calibration	minimally overt
958.99609375	6.25	green	0	calibration	minimally overt
970.96875	6.25	yellow	4	calibration	minimally overt
981.19140625	6.25	orange	2	calibration	minimally overt
991.078125	6.25	magenta	1	calibration	minimally overt
1000.8359375	6.25	magenta	1	calibration	minimally overt
1012.9296875	6.25	violet	3	calibration	minimally overt
1023.1328125	6.25	orange	2	calibration	minimally overt
1033.109375	6.25	violet	3	calibration	minimally overt
1042.859375	6.25	violet	3	calibration	minimally overt
1052.671875	6.25	violet	3	calibration	minimally overt
1066.9453125	6.25	violet	3	calibration	minimally overt
1076.890625	6.25	green	0	calibration	minimally overt
1086.72265625	6.25	green	0	calibration	minimally overt
1096.60546875	6.25	yellow	4	calibration	minimally overt
1108.5703125	6.25	orange	2	calibration	minimally overt
1118.78125	6.25	magenta	1	calibration	minimally overt
1128.63671875	6.25	magenta	1	calibration	minimally overt
1138.36328125	6.25	magenta	1	calibration	minimally overt
1150.3359375	6.25	violet	3	calibration	minimally overt
