onset	duration	trial_type	value	session_type	task_condition
859.38671875	6.25	orange	2	calibration	overt
869.80859375	6.25	magenta	1	calibration	overt
891.265625	6.25	green	0	calibration	overt
901.46875	6.25	green	0	calibration	overt
911.5703125	6.25	violet	3	calibration	overt
933.6328125	6.25	yellow	4	calibration	overt
943.8203125	6.25	orange	2	calibration	overt
958.390625	6.25	magenta	1	calibration	overt
969.27734375	6.25	green	0	calibration	overt
979.53515625	6.25	violet	3	calibration	overt
1001.28515625	6.25	yellow	4	calibration	overt
1011.49609375	6.25	orange	2	calibration	overt
1025.55859375	6.25	violet	3	calibration	overt
1036.3359375	6.25	green	0	calibration	overt
1046.5234375	6.25	magenta	1	calibration	overt
1069.11328125	6.25	yellow	4	calibration	overt
1079.234375	6.25	green	0	calibration	overt
1089.16796875	6.25	magenta	1	calibration	overt
1099.07421875	6.25	orange	2	calibration	overt
1120.12890625	6.25	violet	3	calibration	overt
1130.25390625	6.25	magenta	1	calibration	overt
1140.06640625	6.25	yellow	4	calibration	overt
1150.0	6.25	orange	2	calibration	overt
1159.87890625	6.25	violet	3	calibration	overt
1169.8359375	6.25	magenta	1	calibration	overt
1190.30078125	6.25	green	0	calibration	overt
1200.28125	6.25	magenta	1	calibration	overt
1220.85546875	6.25	yellow	4	calibration	overt
1230.75	6.25	violet	3	calibration	overt
1240.73046875	6.25	orange	2	calibration	overt
1254.6953125	6.25	magenta	1	calibration	overt
1265.4765625	6.25	green	0	calibration	overt
1275.62890625	6.25	yellow	4	calibration	overt
1296.05859375	6.25	violet	3	calibration	overt
1306.59375	6.25	green	0	calibration	overt
1320.5859375	6.25	magenta	1	calibration	overt
1331.28125	6.25	orange	2	calibration	overt
1341.18359375	6.25	yellow	4	calibration	overt
1351.3125	6.25	green	0	calibration	overt
1361.265625	6.25	magenta	1	calibration	overt
1375.30859375	6.25	green	0	calibration	overt
1386.1015625	6.25	violet	3	calibration	overt
1396.234375	6.25	orange	2	calibration	overt
1417.01953125	6.25	yellow	4	calibration	overt
1427.46484375	6.25	violet	3	calibration	overt
1437.60546875	6.25	magenta	1	calibration	overt
1447.7109375	6.25	green	0	calibration	overt
1457.62109375	6.25	yellow	4	calibration	overt
1467.4453125	6.25	violet	3	calibration	overt
1488.2734375	6.25	green	0	calibration	overt
1498.43359375	6.25	orange	2	calibration	overt
1508.203125	6.25	magenta	1	calibration	overt
1529.09375	6.25	violet	3	calibration	overt
1539.16796875	6.25	orange	2	calibration	overt
1559.78515625	6.25	yellow	4	calibration	overt
1569.8984375	6.25	magenta	1	calibration	overt
1590.36328125	6.25	violet	3	calibration	overt
1600.5390625	6.25	green	0	calibration	overt
1610.36328125	6.25	magenta	1	calibration	overt
1624.28515625	6.25	yellow	4	calibration	overt
1634.984375	6.25	orange	2	calibration	overt
1644.91015625	6.25	magenta	1	calibration	overt
1655.11328125	6.25	violet	3	calibration	overt
1664.98046875	6.25	green	0	calibration	overt
1674.90625	6.25	yellow	4	calibration	overt
1684.9921875	6.25	violet	3	calibration	overt
1694.82421875	6.25	magenta	1	calibration	overt
1708.81640625	6.25	magenta	1	calibration	overt
1719.375	6.25	green	0	calibration	overt
1732.99609375	6.25	orange	2	calibration	overt
1743.6484375	6.25	magenta	1	calibration	overt
1753.75	6.25	green	0	calibration	overt
1763.59765625	6.25	green	0	calibration	overt
1777.54296875	6.25	violet	3	calibration	overt
1788.09375	6.25	magenta	1	calibration	overt
1798.31640625	6.25	magenta	1	calibration	overt
1818.203125	6.25	orange	2	calibration	overt
1828.29296875	6.25	green	0	calibration	overt
1838.125	6.25	violet	3	calibration	overt
1857.64453125	6.25	yellow	4	calibration	overt
1867.8125	6.25	green	0	calibration	overt
1877.75	6.25	magenta	1	calibration	overt
1887.640625	6.25	violet	3	calibration	overt
1897.44140625	6.25	green	0	calibration	overt
1918.23046875	6.25	orange	2	calibration	overt
1928.25390625	6.25	magenta	1	calibration	overt
1948.63671875	6.25	violet	3	calibration	overt
1958.83203125	6.25	green	0	calibration	overt
1972.9921875	6.25	orange	2	calibration	overt
1983.625	6.25	yellow	4	calibration	overt
2004.4375	6.25	green	0	calibration	overt
2014.5625	6.25	yellow	4	calibration	overt
2024.5078125	6.25	orange	2	calibration	overt
2038.74609375	6.25	violet	3	calibration	overt
2049.5859375	6.25	green	0	calibration	overt
2059.5546875	6.25	magenta	1	calibration	overt
2069.55859375	6.25	orange	2	calibration	overt
2079.55078125	6.25	yellow	4	calibration	overt
2099.8984375	6.25	violet	3	calibration	overt
2109.921875	6.25	green	0	calibration	overt
