onset	duration	trial_type	value	session_type	task_condition
82.1171875	6.25	violet	3	calibration	minimally overt
92.74609375	6.25	green	0	calibration	minimally overt
107.54296875	6.25	orange	2	calibration	minimally overt
118.6953125	6.25	magenta	1	calibration	minimally overt
129.05859375	6.25	green	0	calibration	minimally overt
143.58984375	6.25	violet	3	calibration	minimally overt
154.828125	6.25	orange	2	calibration	minimally overt
169.0078125	6.25	green	0	calibration	minimally overt
180.375	6.25	magenta	1	calibration	minimally overt
194.69140625	6.25	yellow	4	calibration	minimally overt
206.04296875	6.25	green	0	calibration	minimally overt
216.59765625	6.25	magenta	1	calibration	minimally overt
238.75390625	6.25	yellow	4	calibration	minimally overt
249.55859375	6.25	orange	2	calibration	minimally overt
264.0078125	6.25	green	0	calibration	minimally overt
275.35546875	6.25	green	0	calibration	minimally overt
297.0625	6.25	violet	3	calibration	minimally overt
307.91796875	6.25	magenta	1	calibration	minimally overt
322.09765625	6.25	yellow	4	calibration	minimally overt
333.27734375	6.25	green	0	calibration	minimally overt
347.37109375	6.25	magenta	1	calibration	minimally overt
358.61328125	6.25	orange	2	calibration	minimally overt
372.56640625	6.25	violet	3	calibration	minimally overt
383.64453125	6.25	green	0	calibration	minimally overt
397.70703125	6.25	violet	3	calibration	minimally overt
408.78125	6.25	orange	2	calibration	minimally overt
419.0859375	6.25	green	0	calibration	minimally overt
433.09765625	6.25	yellow	4	calibration	minimally overt
444.19921875	6.25	magenta	1	calibration	minimally overt
458.21484375	6.25	yellow	4	calibration	minimally overt
469.27734375	6.25	magenta	1	calibration	minimally overt
479.828125	6.25	green	0	calibration	minimally overt
501.015625	6.25	yellow	4	calibration	minimally overt
511.4453125	6.25	green	0	calibration	minimally overt
525.66796875	6.25	violet	3	calibration	minimally overt
536.6953125	6.25	orange	2	calibration	minimally overt
550.79296875	6.25	yellow	4	calibration	minimally overt
561.9140625	6.25	magenta	1	calibration	minimally overt
575.94140625	6.25	violet	3	calibration	minimally overt
586.94140625	6.25	green	0	calibration	minimally overt
600.76171875	6.25	magenta	1	calibration	minimally overt
611.83984375	6.25	orange	2	calibration	minimally overt
626.13671875	6.25	yellow	4	calibration	minimally overt
637.30078125	6.25	magenta	1	calibration	minimally overt
651.359375	6.25	green	0	calibration	minimally overt
662.41015625	6.25	orange	2	calibration	minimally overt
676.45703125	6.25	violet	3	calibration	minimally overt
687.5625	6.25	green	0	calibration	minimally overt
701.9296875	6.25	yellow	4	calibration	minimally overt
712.9375	6.25	magenta	1	calibration	minimally overt
726.8671875	6.25	green	0	calibration	minimally overt
737.9296875	6.25	orange	2	calibration	minimally overt
751.9296875	6.25	magenta	1	calibration	minimally overt
762.9375	6.25	green	0	calibration	minimally overt
773.3125	6.25	magenta	1	calibration	minimally overt
787.7734375	6.25	yellow	4	calibration	minimally overt
798.8203125	6.25	magenta	1	calibration	minimally overt
812.88671875	6.25	violet	3	calibration	minimally overt
824.02734375	6.25	orange	2	calibration	minimally overt
837.9453125	6.25	green	0	calibration	minimally overt
848.9921875	6.25	magenta	1	calibration	minimally overt
869.45703125	6.25	yellow	4	calibration	minimally overt
880.234375	6.25	green	0	calibration	minimally overt
894.39453125	6.25	yellow	4	calibration	minimally overt
905.59375	6.25	green	0	calibration	minimally overt
919.80859375	6.25	violet	3	calibration	minimally overt
930.81640625	6.25	magenta	1	calibration	minimally overt
944.94921875	6.25	green	0	calibration	minimally overt
956.1484375	6.25	orange	2	calibration	minimally overt
969.98046875	6.25	violet	3	calibration	minimally overt
981.203125	6.25	orange	2	calibration	minimally overt
995.37109375	6.25	green	0	calibration	minimally overt
1006.484375	6.25	magenta	1	calibration	minimally overt
1027.2421875	6.25	orange	2	calibration	minimally overt
1037.8125	6.25	magenta	1	calibration	minimally overt
1058.98828125	6.25	green	0	calibration	minimally overt
1069.4296875	6.25	green	0	calibration	minimally overt
1079.6953125	6.25	green	0	calibration	minimally overt
1093.89453125	6.25	violet	3	calibration	minimally overt
1105.046875	6.25	orange	2	calibration	minimally overt
1115.55859375	6.25	green	0	calibration	minimally overt
1130.08984375	6.25	magenta	1	calibration	minimally overt
1141.21875	6.25	green	0	calibration	minimally overt
1155.33203125	6.25	yellow	4	calibration	minimally overt
1166.51171875	6.25	magenta	1	calibration	minimally overt
1176.9921875	6.25	green	0	calibration	minimally overt
1187.41015625	6.25	magenta	1	calibration	minimally overt
1201.8828125	6.25	violet	3	calibration	minimally overt
1212.9921875	6.25	orange	2	calibration	minimally overt
1227.00390625	6.25	magenta	1	calibration	minimally overt
1238.18359375	6.25	magenta	1	calibration	minimally overt
1252.19921875	6.25	green	0	calibration	minimally overt
1263.2109375	6.25	orange	2	calibration	minimally overt
1273.84765625	6.25	magenta	1	calibration	minimally overt
1288.1015625	6.25	green	0	calibration	minimally overt
1299.25	6.25	orange	2	calibration	minimally overt
1313.37109375	6.25	green	0	calibration	minimally overt
1324.4453125	6.25	magenta	1	calibration	minimally overt
1338.51953125	6.25	green	0	calibration	minimally overt
1349.609375	6.25	orange	2	calibration	minimally overt
